date,hour,am/pm,burnside_snowdepth_cm,burnside_SWE_mm,leavittlk_snowdepth_cm,leavittil_SWE_mm,leavittmdw_snowdepth_cm,leavittmdw_SWE_mm,squaw _snowdepth_cm,squaw_SWE_mm
4/10/2019 0:00,8:00:00,AM,246,1085,511,2103,102,518,305,1674
4/10/2019 0:00,9:00:00,AM,246,1080,511,2101,102,508,305,1674
4/10/2019 0:00,10:00:00,AM,246,1074,511,2098,99,505,305,1671
4/10/2019 0:00,11:00:00,AM,246,1085,508,2096,102,511,305,1671
4/10/2019 0:00,12:00:00,PM,246,1085,508,2098,99,516,305,1674
4/10/2019 0:00,1:00:00,PM,246,1090,508,2098,102,516,302,1676
4/10/2019 0:00,2:00:00,PM,246,1092,508,2098,102,518,302,1679
4/10/2019 0:00,3:00:00,PM,246,1090,508,2101,99,521,302,1679
4/10/2019 0:00,4:00:00,PM,246,1092,508,2101,99,518,302,1681
4/10/2019 0:00,5:00:00,PM,246,1090,511,2101,102,516,302,1681
4/10/2019 0:00,6:00:00,PM,249,1092,511,2103,102,516,305,1681
4/10/2019 0:00,7:00:00,PM,249,1092,511,2108,102,518,305,1679
4/10/2019 0:00,8:00:00,PM,249,1092,511,2103,104,516,305,1679
4/10/2019 0:00,9:00:00,PM,249,1090,511,2103,104,516,305,1681
4/10/2019 0:00,10:00:00,PM,249,1092,511,2106,104,523,307,1681
4/10/2019 0:00,11:00:00,PM,249,1090,511,2111,104,528,307,1679
4/11/2019 0:00,12:00:00,AM,249,1092,511,2134,104,526,307,1679
4/11/2019 0:00,1:00:00,AM,249,1090,511,2116,104,536,307,1679
4/11/2019 0:00,2:00:00,AM,249,1092,511,2118,104,538,307,1679
4/11/2019 0:00,3:00:00,AM,249,1092,511,2121,104,541,307,1679
4/11/2019 0:00,4:00:00,AM,249,1090,511,2123,104,544,307,1676
4/11/2019 0:00,5:00:00,AM,249,1090,511,2123,104,544,307,1674
4/11/2019 0:00,6:00:00,AM,246,1085,508,2121,104,544,307,1674
4/11/2019 0:00,7:00:00,AM,244,1085,508,2121,102,538,305,1671
4/11/2019 0:00,8:00:00,AM,246,1080,508,2123,99,533,302,1671
4/11/2019 0:00,9:00:00,AM,244,1080,505,2123,99,526,300,1669
4/11/2019 0:00,10:00:00,AM,246,1074,508,2123,99,526,302,1671
4/11/2019 0:00,11:00:00,AM,246,1080,508,2126,99,528,302,1671
4/11/2019 0:00,12:00:00,PM,246,1080,505,2131,102,531,302,1671
4/11/2019 0:00,1:00:00,PM,244,1077,508,2131,99,533,302,1676
4/11/2019 0:00,2:00:00,PM,246,1082,508,2134,99,536,305,1679
4/11/2019 0:00,3:00:00,PM,246,1085,511,2139,97,538,302,1681
